FID,gid,speed_90
ReAtlas_us_windspeed_offshore.10769,10769,5.625
ReAtlas_us_windspeed_offshore.10770,10770,6.375
ReAtlas_us_windspeed_offshore.10771,10771,5.625
ReAtlas_us_windspeed_offshore.10772,10772,6.875
ReAtlas_us_windspeed_offshore.10773,10773,5.875
ReAtlas_us_windspeed_offshore.10774,10774,5.375
ReAtlas_us_windspeed_offshore.10775,10775,5.625
ReAtlas_us_windspeed_offshore.10776,10776,5.875
ReAtlas_us_windspeed_offshore.10777,10777,5.625
ReAtlas_us_windspeed_offshore.10778,10778,5.375
ReAtlas_us_windspeed_offshore.10779,10779,5.375
ReAtlas_us_windspeed_offshore.10783,10783,5.625
ReAtlas_us_windspeed_offshore.10784,10784,5.375
ReAtlas_us_windspeed_offshore.10785,10785,4.875
ReAtlas_us_windspeed_offshore.10786,10786,5.125
ReAtlas_us_windspeed_offshore.10787,10787,5.375
ReAtlas_us_windspeed_offshore.10789,10789,5.375
ReAtlas_us_windspeed_offshore.10817,10817,4.875
ReAtlas_us_windspeed_offshore.10818,10818,4.375
ReAtlas_us_windspeed_offshore.10819,10819,4.125
ReAtlas_us_windspeed_offshore.10534,10534,7.625
ReAtlas_us_windspeed_offshore.10790,10790,6.375
ReAtlas_us_windspeed_offshore.10793,10793,5.875
ReAtlas_us_windspeed_offshore.10794,10794,5.125
ReAtlas_us_windspeed_offshore.10795,10795,5.875
ReAtlas_us_windspeed_offshore.10796,10796,3.875
ReAtlas_us_windspeed_offshore.10797,10797,4.625
ReAtlas_us_windspeed_offshore.10798,10798,5.125
ReAtlas_us_windspeed_offshore.10799,10799,6.625
ReAtlas_us_windspeed_offshore.10800,10800,6.125
ReAtlas_us_windspeed_offshore.10801,10801,5.375
ReAtlas_us_windspeed_offshore.10802,10802,4.875
ReAtlas_us_windspeed_offshore.10803,10803,4.625
ReAtlas_us_windspeed_offshore.10804,10804,4.875
ReAtlas_us_windspeed_offshore.10805,10805,5.375
ReAtlas_us_windspeed_offshore.10806,10806,5.875
ReAtlas_us_windspeed_offshore.10807,10807,5.375
ReAtlas_us_windspeed_offshore.10808,10808,4.875
ReAtlas_us_windspeed_offshore.10809,10809,5.125
ReAtlas_us_windspeed_offshore.10810,10810,5.375
