FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.2658,42.9327678672874,-122.99201664931996,2658,871613.000000,1125.900,30.151
ReAtlas_smallhydro.2664,42.98466058808843,-122.86302003811855,2664,871575.000000,1036.582,57.776
ReAtlas_smallhydro.2665,42.73352386076386,-124.05455352249064,2665,872880.000000,2464.564,113.353
ReAtlas_smallhydro.2666,42.9413875522202,-123.10678702133845,2666,871584.000000,1032.986,25.394
ReAtlas_smallhydro.2669,42.95111577951757,-123.1372990185998,2669,871558.000000,1474.092,34.908
ReAtlas_smallhydro.2671,42.96427684161221,-123.16612854971174,2671,871529.000000,1241.836,29.068
ReAtlas_smallhydro.2672,42.8907484203848,-123.53662726173667,2672,871488.000000,1909.360,57.283
ReAtlas_smallhydro.2673,42.78627749977895,-124.02917837163267,2673,872863.000000,1501.642,54.495
ReAtlas_smallhydro.2674,42.92013798943942,-123.44998283467478,2674,871451.000000,1159.520,32.579
ReAtlas_smallhydro.2676,42.952616213165605,-123.31866619401421,2676,871478.000000,1097.152,22.703
ReAtlas_smallhydro.2677,42.80870209602062,-124.0076942781277,2677,872858.000000,1421.463,1217.881
ReAtlas_smallhydro.2678,42.96129924166471,-123.33299739956823,2678,871441.000000,1599.882,18.602
ReAtlas_smallhydro.2682,42.826510607929706,-124.00201247396001,2682,872855.000000,1506.379,434.843
ReAtlas_smallhydro.2683,42.83557802269674,-123.98381090701756,2683,872852.000000,1941.357,836.975
ReAtlas_smallhydro.2685,42.83211932898194,-124.03250872363938,2685,872854.000000,2962.401,84.875
ReAtlas_smallhydro.2689,43.016814816288246,-123.30005901634038,2689,871390.000000,1165.502,13.419
ReAtlas_smallhydro.2695,43.03438468377465,-123.32651239657721,2695,871366.000000,2274.011,24.541
ReAtlas_smallhydro.2700,42.9674737283242,-123.76886738263894,2700,872811.000000,1123.831,165.978
ReAtlas_smallhydro.2702,42.89988115452163,-124.09790913626384,2702,872809.000000,1749.450,44.193
ReAtlas_smallhydro.2708,42.99973905540813,-123.84831168130452,2708,872780.000000,1406.001,571.161
ReAtlas_smallhydro.2709,42.910954293218396,-124.3950775615784,2709,872569.000000,1113.856,134.121
ReAtlas_smallhydro.4875,41.96716998467388,-122.22197004038361,4875,979394.000000,3173.681,21.555
ReAtlas_smallhydro.4876,41.97020854369377,-122.21139545786028,4876,979391.000000,2181.090,14.829
ReAtlas_smallhydro.4877,41.97512560178804,-122.20116382728384,4877,979385.000000,3009.861,20.604
ReAtlas_smallhydro.4884,41.97904979192189,-122.35728788439303,4884,979313.000000,30000.000,239.075
ReAtlas_smallhydro.4885,41.9154297661187,-122.83746561355679,4885,979272.000000,1385.507,208.301
ReAtlas_smallhydro.4886,41.93651873120397,-122.81846549338613,4886,979245.000000,1570.729,388.058
